raw_team,normalized_team,occurrences,changed
Algeria,Algeria,16,False
Angola,Angola,3,False
Argentina,Argentina,141,False
Australia,Australia,18,False
Austria,Austria,43,False
Belgium,Belgium,73,False
Bolivia,Bolivia,6,False
Bosnia and Herzegovina,Bosnia and Herzegovina,4,False
Brazil,Brazil,202,False
Bulgaria,Bulgaria,33,False
Cameroon,Cameroon,27,False
Canada,Canada,3,False
Chile,Chile,45,False
China PR,China PR,3,False
Colombia,Colombia,31,False
Costa Rica,Costa Rica,26,False
Croatia,Croatia,42,False
Cuba,Cuba,4,False
Czech Republic,Czechia,4,True
Czechoslovakia,Czechoslovakia,43,False
Denmark,Denmark,29,False
Dutch West Indies,Dutch West Indies,1,False
East Germany,East Germany,8,False
Ecuador,Ecuador,14,False
Egypt,Egypt,7,False
El Salvador,El Salvador,6,False
England,England,104,False
FR Yugoslavia,FR Yugoslavia,4,False
France,France,112,False
Germany,Germany,85,False
Ghana,Ghana,16,False
Greece,Greece,12,False
Haiti,Haiti,3,False
Honduras,Honduras,9,False
Hungary,Hungary,49,False
Iceland,Iceland,3,False
Iran,IR Iran,17,True
Iraq,Iraq,3,False
Israel,Israel,3,False
Italy,Italy,139,False
Ivory Coast,Côte d'Ivoire,12,True
Jamaica,Jamaica,4,False
Japan,Japan,26,False
Kuwait,Kuwait,3,False
Mexico,Mexico,73,False
Morocco,Morocco,18,False
Netherlands,Netherlands,85,False
New Zealand,New Zealand,6,False
Nigeria,Nigeria,27,False
North Korea,North Korea,8,False
Northern Ireland,Northern Ireland,16,False
Norway,Norway,10,False
Panama,Panama,3,False
Paraguay,Paraguay,37,False
Peru,Peru,23,False
Poland,Poland,52,False
Portagul,Portugal,2,True
Portugal,Portugal,47,False
Republic of Ireland,Republic of Ireland,18,False
Romania,Romania,29,False
Russia,Russia,21,False
Saudi Arabia,Saudi Arabia,19,False
Scotland,Scotland,27,False
Senegal,Senegal,11,False
Serbia,Serbia,13,False
Slovakia,Slovakia,5,False
Slovenia,Slovenia,7,False
South Africa,South Africa,11,False
South Korea,Korea Republic,44,True
Soviet Union,Soviet Union,47,False
Spain,Spain,98,False
Sweden,Sweden,77,False
Switzerland,Switzerland,49,False
Togo,Togo,3,False
Trinidad and Tobago,Trinidad and Tobago,3,False
Tunisia,Tunisia,17,False
Turkey,Türkiye,16,True
USA,USA,1,False
Ukraine,Ukraine,10,False
United Arab Emirates,United Arab Emirates,3,False
United States,USA,41,True
Uruguay,Uruguay,88,False
Wales,Wales,6,False
West Germany,Germany,116,True
Yugoslavia,Yugoslavia,49,False
Zaire,Congo DR,3,True
